from,to,direction
G182,G500,-
G182,G742,-
G182,G1568,+
G182,G672,+
G182,G1573,+
G182,G931,+
G182,G1028,+
G182,G397,+
G182,G572,-
G182,G324,-
G182,G1063,+
G182,G1333,-
G182,G610,+
G182,G622,-
G182,G755,+
G182,G877,-
G182,G1355,-
G182,G1448,-
G182,G215,+
G182,G787,+
G182,G923,+
G182,G763,+
G182,G1109,-
G182,G1452,+
G182,G38,+
G182,G574,+
G182,G1303,+
G182,G634,+
G182,G226,+
G182,G993,+
G182,G1277,-
G182,G1234,+
G182,G1409,-
G182,G312,+
G182,G1228,+
G182,G1281,-
G182,G445,-
G182,G316,-
G182,G109,-
G182,G549,-
G182,G798,-
G182,G1475,+
G182,G841,+
G182,G1210,+
G182,G1061,+
G182,G788,+
G182,G198,+
G182,G344,-
G182,G1053,-
G182,G1365,+
G182,G609,+
G182,G286,+
G81,G1163,+
G120,G1143,+
G120,G860,+
G120,G1478,+
G120,G771,+
G120,G350,+
G120,G1080,+
G120,G1556,+
G120,G1072,+
G120,G1570,+
G120,G184,+
G120,G660,+
G120,G739,+
G120,G631,+
G120,G19,+
G120,G985,+
G120,G510,+
G120,G828,+
G120,G1536,+
G120,G544,+
G120,G501,+
G120,G971,+
G120,G516,+
G120,G724,+
G120,G963,+
G120,G532,+
G120,G547,+
G120,G813,+
G120,G1460,+
G120,G429,+
G120,G150,+
G120,G901,+
G120,G989,+
G120,G712,+
G120,G960,+
G120,G142,+
G120,G856,+
G120,G288,+
G120,G1108,+
G120,G509,+
G120,G196,+
G120,G1118,+
G120,G1592,+
G120,G740,+
G120,G730,+
G120,G457,+
G120,G1591,+
G120,G765,-
G120,G627,+
G120,G1122,+
G120,G1004,+
G120,G1549,+
G120,G412,+
G120,G1316,+
G120,G642,+
G120,G607,+
G120,G1498,+
G120,G1472,+
G120,G1201,+
G120,G770,+
G120,G1007,+
G120,G195,+
G120,G577,+
G120,G152,+
G120,G1170,-
G120,G921,-
G120,G784,-
G120,G1518,+
G120,G1547,+
G120,G32,+
G120,G62,+
G120,G360,+
G120,G817,+
G120,G494,+
G120,G902,+
G120,G1139,+
G120,G1311,+
G120,G1281,+
G120,G445,+
G120,G316,+
G120,G109,+
G120,G1188,+
G120,G181,+
G120,G1458,+
G120,G1641,+
G120,G231,+
G120,G1514,+
G120,G1081,+
G120,G1320,+
G120,G1465,+
G120,G620,+
G120,G482,+
G120,G1187,+
G120,G1383,+
G120,G878,+
G120,G1041,-
G120,G862,+
G120,G164,+
G120,G789,+
G120,G715,+
G120,G678,+
G120,G1035,+
G120,G1198,+
G120,G1613,+
G120,G929,+
G120,G1262,+
G120,G39,+
G120,G239,+
G120,G443,+
G120,G345,+
G120,G1637,+
G120,G1207,+
G120,G117,+
G120,G656,+
G120,G27,+
G120,G1554,+
G120,G1516,+
G120,G1608,+
G120,G887,-
G120,G203,-
G120,G337,+
G120,G506,+
G120,G1585,-
G120,G1552,+
G120,G1304,+
G120,G542,+
G120,G1161,+
G120,G1567,+
G120,G97,+
G120,G1523,+
G120,G1093,+
G120,G904,+
G120,G1018,+
G120,G420,+
G120,G1176,+
G120,G552,+
G120,G1457,-
G120,G1164,+
G120,G831,+
G120,G1414,+
G120,G915,+
G120,G933,+
G120,G1086,+
G120,G332,-
G120,G1225,+
G120,G434,+
G120,G1415,+
G120,G80,+
G120,G507,+
G120,G1023,+
G120,G1294,+
G120,G612,+
G120,G1034,-
G120,G757,+
G120,G257,-
G120,G1540,+
G120,G1559,+
G120,G1357,+
G120,G1322,+
G120,G949,+
G120,G1601,-
G120,G137,-
G120,G1222,-
G120,G684,+
G120,G1619,+
G120,G648,+
G120,G854,+
G120,G643,+
G120,G579,+
G120,G49,+
G120,G193,+
G120,G478,+
G120,G1308,+
G120,G375,-
G120,G415,-
G120,G858,-
G120,G899,+
G120,G677,-
G120,G366,+
G120,G808,-
G120,G898,+
G120,G256,+
G120,G359,+
G120,G189,-
G120,G714,+
G120,G1111,+
G120,G58,+
G120,G880,+
G120,G1545,-
G120,G603,+
G120,G794,+
G120,G944,+
G120,G321,+
G120,G1639,+
G120,G1522,+
G120,G300,+
G120,G819,-
G120,G1116,+
G120,G1481,+
G120,G495,+
G120,G235,+
G120,G820,+
G120,G948,+
G120,G1351,+
G120,G1571,+
G120,G1182,-
G120,G88,-
G120,G1630,+
G120,G934,-
G120,G343,-
G120,G1203,-
G120,G1517,+
G120,G294,+
G120,G274,-
G120,G1133,-
G120,G232,+
G120,G1333,+
G120,G122,-
G120,G12,+
G120,G778,+
G120,G1501,+
G120,G1335,-
G120,G1218,-
G120,G610,+
G120,G392,+
G120,G667,-
G120,G1047,-
G120,G1030,-
G120,G1372,+
G120,G1496,+
G120,G578,+
G120,G487,+
G120,G1342,+
G120,G1211,+
G120,G251,+
G120,G555,+
G120,G206,+
G120,G424,+
G120,G1354,+
G120,G951,+
G120,G455,-
G120,G855,+
G120,G884,-
G120,G254,+
G120,G1101,+
G120,G1321,+
G120,G1424,+
G120,G210,+
G120,G659,+
G120,G991,+
G120,G799,+
G120,G5,+
G120,G795,+
G120,G653,+
G120,G930,+
G120,G1401,-
G120,G848,+
G120,G335,+
G120,G1507,+
G120,G824,-
G120,G1369,-
G120,G129,-
G120,G864,+
G120,G1439,+
G120,G91,-
G120,G1264,+
G120,G1634,-
G120,G1237,+
G120,G1292,-
G120,G325,-
G120,G1476,-
G120,G1392,-
G120,G323,+
G120,G618,+
G120,G1024,+
G120,G694,+
G120,G852,+
G120,G803,+
G120,G1149,+
G120,G790,+
G120,G663,+
G120,G1110,+
G120,G1070,+
G120,G728,+
G120,G1177,+
G120,G1278,+
G120,G2,+
G120,G1600,+
G120,G334,+
G120,G1107,-
G120,G1195,-
G120,G1066,+
G120,G406,+
G120,G554,+
G120,G861,+
G120,G169,+
G120,G697,+
G120,G447,+
G120,G540,+
G120,G3,+
G120,G1252,+
G120,G1288,+
G120,G1147,+
G120,G1385,+
G120,G1443,+
G120,G386,-
G120,G1008,-
G120,G928,-
G120,G1569,+
G120,G1393,+
G120,G1045,+
G120,G954,+
G120,G1480,+
G120,G1247,+
G120,G836,+
G120,G313,+
G120,G897,+
G120,G571,-
G120,G1190,+
G120,G472,+
G120,G156,+
G120,G640,+
G120,G468,+
G120,G1343,+
G120,G1492,+
G120,G200,-
G120,G845,-
G120,G996,-
G120,G945,+
G120,G597,-
G120,G1275,+
G120,G113,+
G120,G1479,+
G120,G1332,+
G120,G529,+
G120,G234,+
G120,G1446,+
G120,G1622,+
G120,G504,+
G120,G731,+
G120,G1165,+
G120,G688,+
G120,G1324,+
G120,G932,+
G120,G601,+
G120,G1642,-
G120,G496,+
G120,G362,-
G120,G670,+
G120,G165,+
G120,G179,+
G120,G303,+
G120,G1397,-
G120,G1306,-
G120,G702,+
G120,G1546,+
G120,G980,+
G120,G126,-
G120,G1169,+
G120,G1014,+
G120,G1580,+
G120,G913,+
G120,G924,+
G120,G1194,-
G120,G1640,-
G120,G1239,+
G120,G594,+
G120,G1285,+
G120,G1527,+
G120,G539,+
G120,G588,+
G120,G1011,+
G120,G171,+
G120,G115,+
G120,G119,+
G120,G533,+
G120,G403,+
G120,G1605,+
G120,G961,+
G120,G458,+
G120,G73,+
G120,G1453,+
G120,G1307,+
G120,G292,+
G120,G78,+
G120,G615,+
G120,G1240,-
G120,G675,-
G120,G135,+
G120,G282,-
G120,G241,+
G120,G245,+
G120,G492,-
G120,G227,-
G120,G1186,+
G120,G1197,+
G120,G1422,+
G120,G722,+
G120,G13,+
G120,G1544,+
G120,G1221,+
G120,G1263,+
G120,G1153,+
G120,G57,+
G120,G755,+
G120,G1455,-
G120,G1617,+
G120,G1583,+
G120,G1399,+
G120,G676,+
G120,G1566,+
G120,G686,-
G120,G987,+
G120,G1364,+
G120,G869,-
G120,G396,-
G120,G849,-
G120,G1150,+
G120,G1159,+
G120,G834,+
G120,G63,+
G120,G1450,+
G120,G186,+
G120,G1154,+
G120,G706,-
G120,G1533,+
G120,G958,+
G120,G1611,+
G120,G827,+
G120,G238,+
G120,G894,+
G109,G445,+
G109,G1281,+
G109,G549,+
G109,G798,+
G109,G316,+
G109,G1109,+
G109,G1255,+
G109,G484,+
G109,G1406,-
G64,G631,-
G64,G803,-
G64,G932,-
G64,G1324,-
G64,G615,-
G20,G861,+
G20,G136,+
G111,G315,-
G111,G829,-
G111,G699,-
G111,G1629,-
G111,G438,-
G111,G381,+
G111,G548,+
G98,G1515,+
G98,G440,+
G98,G531,+
G98,G710,+
G98,G1167,+
G112,G1293,+
G112,G879,+
G112,G1146,+
G8,G400,+
G8,G1504,+
G8,G974,+
G8,G823,-
G8,G556,-
G8,G1123,-
G8,G779,-
G8,G582,-
G8,G23,+
G8,G777,+
G8,G1160,-
G8,G937,+
G8,G941,+
G8,G1459,+
G8,G205,+
G8,G773,+
G8,G1395,+
G8,G485,+
G8,G563,+
G8,G1181,+
G8,G843,+
G8,G346,+
G8,G285,+
G137,G332,-
G137,G1222,-
G137,G684,-
G137,G795,-
G137,G706,-
G137,G1008,-
G137,G755,-
G137,G610,-
G137,G274,-
G137,G1533,-
G137,G928,-
G150,G292,+
G150,G1548,+
G150,G895,+
G150,G503,+
G150,G464,+
G150,G1516,+
G150,G1201,+
G41,G1222,-
G41,G1008,-
G41,G274,-
G41,G1533,-
G41,G706,-
G41,G684,-
G39,G1047,-
G39,G1262,-
G39,G1034,-
G39,G58,-
G39,G603,-
G39,G794,-
G39,G392,-
G39,G667,-
G39,G944,-
G174,G322,+
G174,G1257,+
G174,G1474,+
G30,G395,-
G30,G690,-
G192,G1253,-
G192,G755,-
G192,G1249,-
G192,G807,+
G192,G294,+
G192,G1517,+
G192,G406,-
G192,G554,-
G192,G1304,-
G192,G626,-
G108,G827,+
G108,G1611,+
G33,G1297,-
G33,G842,-
G87,G1333,+
G87,G1063,+
G128,G1369,+
G128,G427,+
G128,G31,+
G128,G327,+
G128,G624,+
G128,G1467,+
G128,G252,+
G128,G671,+
G128,G526,+
G128,G824,+
G128,G1259,+
G128,G286,+
G128,G126,+
G76,G1498,-
G76,G1472,-
G76,G1007,-
G76,G195,-
G76,G196,-
G76,G313,-
G76,G897,-
G180,G1539,-
G180,G1538,-
G75,G1546,-
G75,G236,-
G75,G957,-
G75,G222,-
G75,G1640,-
G75,G103,+
G75,G1539,+
G75,G1538,+
G75,G1295,-
G75,G950,-
G75,G336,-
G181,G1158,+
G101,G1485,+
G101,G970,+
G101,G907,+
G101,G747,+
G101,G1555,+
G101,G1470,+
G101,G390,+
G101,G1135,+
G101,G317,+
G101,G319,+
G101,G910,+
G101,G377,+
G101,G1145,+
G101,G964,+
G101,G276,+
G101,G1343,+
G101,G1446,+
G101,G1223,+
G101,G373,+
G101,G860,+
G101,G1478,+
G101,G771,+
G101,G350,+
G101,G1080,+
G101,G1556,+
G101,G1072,+
G101,G1570,+
G101,G184,+
G101,G660,+
G171,G1263,+
G171,G1153,+
G171,G1278,+
G171,G1600,+
G171,G409,-
G171,G406,-
G171,G554,-
G171,G861,-
G171,G357,-
G171,G136,+
G171,G169,+
G171,G49,-
G171,G889,-
G171,G1087,-
G171,G1418,-
G171,G250,-
G171,G550,-
G171,G745,-
G171,G375,+
G171,G520,-
G171,G347,+
G171,G808,+
G171,G898,+
G171,G256,+
G171,G359,+
G171,G321,+
G171,G1483,+
G171,G1116,-
G171,G495,-
G171,G235,-
G171,G820,-
G171,G1630,-
G171,G1642,-
G171,G746,-
G171,G637,-
G171,G165,+
G171,G179,+
G171,G303,-
G171,G1397,-
G171,G758,+
G171,G951,+
G171,G455,+
G171,G850,+
G171,G775,+
G171,G1230,-
G171,G254,+
G171,G991,-
G171,G799,-
G171,G1375,-
G171,G1421,-
G171,G851,-
G171,G886,-
G171,G394,-
G171,G814,-
G171,G5,-
G171,G1310,+
G171,G388,+
G171,G723,+
G171,G1044,+
G171,G729,+
G171,G1602,+
G171,G1558,+
G171,G1233,+
G171,G592,+
G171,G363,+
G171,G644,+
G171,G546,-
G171,G542,-
G171,G428,+
G171,G233,+
G171,G915,-
G171,G933,-
G171,G1086,-
G171,G1550,+
G171,G1296,+
G171,G120,-
G171,G1601,-
G171,G1222,+
G171,G684,+
G171,G706,+
G171,G1533,+
G171,G530,-
G171,G926,-
G171,G1581,-
G171,G1295,+
G171,G336,+
G171,G292,-
G171,G722,+
G171,G13,+
G171,G1544,+
G171,G1315,-
G171,G1221,+
G171,G1425,+
G171,G488,+
G171,G661,+
G171,G1179,+
G171,G1436,+
G171,G693,+
G171,G1412,+
G171,G735,+
G171,G802,+
G171,G1334,+
G171,G1593,+
G171,G1170,+
G171,G1185,+
G171,G219,+
G171,G1270,+
G171,G1067,+
G171,G908,+
G171,G270,+
G171,G1599,+
G171,G832,+
G171,G608,+
G171,G1551,+
G171,G759,+
G171,G1272,+
G171,G1208,+
G171,G213,+
G171,G1564,+
G171,G425,+
G171,G791,+
G171,G512,+
G171,G1371,+
G171,G1373,+
G171,G1408,+
G171,G1519,-
G171,G293,-
G171,G657,-
G171,G1461,-
G171,G1250,-
G171,G766,+
G171,G934,-
G171,G343,-
G171,G1203,-
G171,G1517,+
G171,G294,+
G171,G1133,+
G171,G940,-
G171,G1468,+
G171,G778,-
G171,G1218,+
G171,G392,-
G171,G1121,-
G171,G265,+
G171,G1455,+
G171,G797,+
G171,G900,+
G171,G1443,+
G171,G920,+
G171,G581,+
G171,G200,+
G171,G845,+
G171,G996,+
G171,G1479,+
G171,G504,-
G171,G1151,+
G171,G743,+
G171,G621,+
G171,G382,+
G171,G611,+
G171,G630,+
G171,G1132,+
G171,G333,+
G171,G340,+
G171,G917,+
G171,G451,+
G171,G399,+
G171,G1002,+
G171,G1000,+
G171,G635,+
G171,G580,+
G171,G764,+
G171,G576,+
G171,G562,+
G171,G1049,+
G171,G784,-
G171,G1547,-
G171,G1188,-
G171,G1041,-
G171,G1344,-
G171,G1058,+
G171,G1248,-
G171,G1510,-
G171,G19,-
G171,G1327,-
G171,G971,-
G171,G516,-
G171,G724,-
G171,G348,+
G171,G129,-
G171,G864,-
G171,G1439,-
G171,G1024,-
G171,G694,-
G171,G577,-
G171,G152,-
G171,G298,+
G171,G1430,+
G171,G882,+
G171,G826,+
G171,G1200,+
G171,G1037,+
G171,G1105,+
G171,G1314,+
G171,G1433,+
G171,G1432,+
G171,G800,+
G171,G269,+
G171,G389,+
G171,G469,+
G171,G1442,+
G171,G483,+
G171,G1487,+
G171,G1095,+
G171,G456,+
G171,G916,+
G171,G1339,+
G171,G1563,+
G171,G1484,+
G115,G911,+
G115,G1199,+
G115,G297,+
G115,G1079,+
G115,G1530,+
G115,G378,+
G115,G1042,+
G115,G649,+
G115,G1360,+
G115,G866,+
G115,G374,+
G115,G1636,+
G115,G1318,+
G115,G641,+
G115,G709,+
G115,G1027,+
G115,G1574,+
G115,G538,+
G115,G1438,+
G115,G809,+
G115,G769,+
G115,G669,+
G115,G1513,+
G115,G1447,+
G115,G266,+
G115,G1394,+
G115,G449,+
G119,G1027,+
G119,G1574,+
G119,G538,+
G119,G1438,+
G119,G809,+
G119,G769,+
G119,G669,+
G119,G1513,+
G119,G1447,+
G119,G266,+
G119,G1394,+
G119,G449,+
G115,G1340,+
G115,G754,+
G115,G224,+
G115,G1221,+
G115,G1263,+
G115,G1153,+
G115,G1639,-
G115,G1116,-
G115,G1481,-
G115,G495,-
G115,G1075,+
G115,G1410,+
G115,G522,+
G115,G1142,+
G115,G407,+
G115,G349,+
G115,G665,+
G115,G1128,+
G115,G1473,+
G115,G1499,+
G115,G489,+
G115,G557,+
G115,G1223,+
G115,G373,+
G115,G1152,+
G115,G587,+
G115,G1230,+
G115,G1375,+
G115,G1421,+
G115,G851,+
G115,G886,+
G115,G394,+
G115,G814,+
G115,G598,+
G115,G1137,+
G115,G1638,+
G115,G1505,+
G115,G1238,+
G115,G997,+
G115,G867,+
G115,G952,+
G115,G1055,+
G115,G465,+
G115,G1235,+
G115,G280,+
G115,G490,+
G115,G1236,+
G115,G1428,+
G115,G896,+
G115,G1173,+
G115,G1144,+
G115,G1009,+
G119,G1221,+
G119,G1263,+
G119,G1153,+
G119,G1639,-
G119,G1116,-
G119,G1481,-
G119,G495,-
G119,G1075,+
G119,G1410,+
G119,G522,+
G119,G1142,+
G119,G407,+
G119,G349,+
G119,G665,+
G119,G1128,+
G119,G1473,+
G119,G1499,+
G119,G489,+
G119,G557,+
G119,G1223,+
G119,G373,+
G119,G1152,+
G119,G587,+
G119,G1230,+
G119,G1375,+
G119,G1421,+
G119,G851,+
G119,G886,+
G119,G394,+
G119,G814,+
G119,G598,+
G119,G1137,+
G119,G1638,+
G119,G1505,+
G119,G1238,+
G119,G997,+
G119,G867,+
G119,G952,+
G119,G1055,+
G119,G465,+
G119,G1235,+
G119,G280,+
G119,G490,+
G119,G1236,+
G119,G1428,+
G119,G896,+
G119,G1173,+
G119,G1144,+
G119,G1009,+
G119,G911,+
G119,G1199,+
G119,G297,+
G119,G1079,+
G119,G1530,+
G119,G378,+
G119,G1042,+
G119,G649,+
G119,G1360,+
G119,G866,+
G119,G374,+
G119,G1636,+
G119,G1318,+
G119,G641,+
G119,G709,+
G119,G1340,+
G119,G754,+
G119,G224,+
G84,G337,-
G84,G506,-
G84,G474,+
G84,G644,+
G84,G1304,-
G84,G542,+
G84,G121,-
G84,G1414,+
G84,G153,+
G84,G628,+
G84,G602,+
G84,G534,+
G84,G725,+
G84,G1402,-
G84,G1117,-
G84,G1114,-
G84,G523,+
G84,G1540,-
G84,G1559,-
G84,G1357,-
G84,G1322,-
G84,G949,-
G84,G1601,+
G84,G530,+
G84,G1306,-
G84,G139,+
G84,G225,+
G84,G1211,+
G84,G251,+
G84,G555,+
G84,G206,+
G84,G424,+
G84,G1354,+
G84,G315,+
G84,G829,+
G84,G699,+
G84,G1629,+
G84,G545,+
G84,G438,+
G84,G850,-
G84,G775,-
G84,G1230,+
G84,G254,+
G84,G230,+
G84,G1375,+
G84,G1421,+
G84,G851,+
G84,G886,+
G84,G394,+
G84,G814,+
G84,G72,-
G84,G1505,+
G84,G1238,+
G84,G997,+
G84,G867,+
G84,G952,+
G84,G1055,+
G84,G465,+
G84,G1235,+
G84,G280,+
G84,G490,+
G84,G1236,+
G84,G1428,+
G84,G896,+
G84,G1368,+
G84,G1469,+
G84,G1614,+
G84,G1390,+
G84,G736,+
G84,G1310,-
G84,G388,-
G84,G723,-
G84,G1044,-
G84,G729,-
G84,G1602,-
G84,G1558,-
G84,G1233,-
G84,G592,-
G84,G363,-
G84,G348,-
G84,G692,+
G84,G1616,+
G84,G1462,-
G84,G881,+
G84,G1144,+
G84,G1009,+
G84,G1291,+
G84,G1516,+
G84,G1282,+
G84,G1349,+
G84,G890,+
G84,G284,+
G84,G1160,+
G84,G493,-
G84,G1633,-
G84,G505,-
G84,G1316,+
G84,G872,-
G84,G1131,-
G84,G732,-
G84,G818,-
G84,G1498,+
G84,G431,+
G84,G427,+
G84,G270,+
G84,G784,-
G84,G32,+
G84,G662,+
G84,G524,+
G84,G1104,+
G84,G599,+
G84,G823,+
G84,G556,+
G84,G1123,+
G84,G779,+
G84,G1413,+
G84,G1188,+
G84,G268,-
G84,G1051,-
G84,G1172,+
G84,G616,+
G84,G1330,+
G84,G1326,+
G84,G418,+
G84,G369,+
G84,G1626,+
G84,G473,+
G84,G372,+
G84,G1284,+
G84,G685,+
G84,G266,+
G84,G252,+
G84,G860,-
G84,G1478,-
G84,G771,-
G84,G350,-
G84,G1080,-
G84,G1556,-
G84,G1072,-
G84,G1570,-
G84,G184,-
G84,G660,-
G84,G793,-
G84,G290,+
G84,G939,+
G84,G953,+
G84,G1471,+
G84,G354,+
G84,G1056,+
G84,G985,+
G84,G1169,+
G84,G1014,+
G84,G1342,+
G84,G828,+
G84,G1536,+
G84,G935,-
G84,G150,+
G84,G228,+
G84,G1078,-
G84,G979,+
G84,G196,+
G84,G713,+
G84,G768,+
G84,G926,+
G84,G1581,+
G84,G1076,-
G84,G651,+
G84,G1497,+
G84,G1511,+
G84,G1485,+
G84,G565,+
G84,G1407,+
G84,G101,+
G84,G464,+
G84,G503,+
G84,G895,+
G84,G1548,+
G84,G1307,-
G84,G292,+
G84,G1358,+
G84,G1221,+
G84,G1263,+
G84,G1153,+
G84,G1278,+
G84,G1600,+
G84,G1107,-
G84,G1195,-
G84,G1043,-
G84,G511,-
G84,G377,+
G84,G1145,+
G84,G964,+
G84,G276,+
G84,G859,+
G84,G808,+
G84,G1577,+
G84,G467,+
G84,G1519,+
G84,G293,+
G84,G657,+
G84,G1461,+
G84,G1250,+
G84,G176,-
G84,G1227,-
G84,G766,-
G84,G934,+
G84,G343,+
G84,G1203,+
G84,G778,+
G84,G1482,+
G84,G1033,+
G84,G217,-
G84,G99,-
G84,G129,-
G84,G1205,+
G84,G1631,+
G84,G1325,+
G84,G1490,+
G84,G220,-
G84,G358,-
G84,G1543,+
G84,G454,+
G84,G441,+
G84,G1246,-
G84,G1245,+
G84,G1376,-
G84,G1624,-
G84,G569,+
G84,G1017,+
G84,G1347,+
G84,G1377,+
G84,G590,-
G84,G844,+
G84,G541,-
G84,G1579,+
G84,G863,+
G84,G1617,-
G84,G1583,-
G84,G1399,-
G84,G676,-
G84,G1364,-
G84,G1154,-
G84,G697,-
G84,G447,-
G84,G540,-
G84,G839,+
G84,G966,+
G84,G3,+
G84,G1252,+
G84,G1288,+
G84,G892,-
G84,G156,+
G84,G614,+
G84,G1343,-
G84,G287,-
G84,G1492,+
G84,G1509,+
G84,G1328,+
G84,G1275,+
G84,G695,-
G84,G782,-
G84,G261,-
G84,G342,-
G84,G1332,+
G84,G1449,-
G84,G1446,-
G84,G411,-
G84,G688,-
G84,G812,+
G84,G1010,-
G84,G664,-
G84,G331,+
G84,G1381,+
G84,G811,+
G84,G561,+
G84,G1244,+
G84,G510,+
G43,G887,+
G43,G883,-
G43,G1585,+
G43,G644,-
G43,G499,+
G43,G1034,+
G43,G1114,+
G43,G523,+
G43,G1601,-
G43,G943,-
G43,G1615,-
G43,G1331,-
G43,G1239,-
G43,G432,-
G43,G1384,-
G43,G241,-
G43,G245,-
G43,G1379,+
G43,G603,-
G43,G794,-
G43,G944,-
G43,G235,-
G43,G820,-
G43,G934,-
