#ID,Name
G1,tyrR
G923,fabZ
G924,entE
G925,sdaA
G926,dmsB
G927,znuC
G928,udp
G929,tam
G930,ppdD
G931,hlpA
G932,gabP
G933,bglF
G934,nirB
G935,ysgA
G936,aroL
G937,cysP
G938,pgaC
G939,xdhB
G940,ogt
G941,cysU
G942,iscU
G943,eda
G944,manZ
G945,yhfA
G946,trpD
G947,pitB
G948,nagA
G949,cyoE
G950,uspA
G951,marB
G952,ccmC
G953,xdhC
G954,ugpE
G955,uvrA
G956,ygiC
G957,fadJ
G958,dksA
G959,rybB
G960,ulaF
G961,fucO
G962,bioB
G963,hofP
G964,hypD
G965,insK
G966,tar
G967,livH
G968,decoy61
G969,dkgB
G970,hycI
G971,yhcH
G972,murG
G973,puuD
G974,tauC
G975,fumC
G976,metA
G977,glnH
G978,pgm
G979,iraD
G980,ychH
G981,uvrD
G982,oppC
G983,ybaO
G984,purD
G985,aer
G986,gmr
G987,sfsA
G988,mtr
G989,ulaD
G990,trpB
G991,actP
G992,purA
G993,rdoA
G994,psiF
G995,hcaF
G996,rimP
G997,ccmF
G998,rimK
G999,leuL
G1000,tyrT
G1001,exbD
G1002,thrW
G1003,glk
G1004,ulaC
G1005,phnE
G1006,tisB
G1007,uxuB
G1008,tsx
G1009,ccmD
G1010,ubiC
G1011,fepA
G1012,bdm
G1013,tonB
G1014,caiC
G1015,phnJ
G1016,dinB
G1017,rplW
G1018,araG
G1019,ygiB
G1020,argA
G1021,rffC
G1022,nrdE
G1023,modC
G1024,aldB
G1025,leuD
G1026,argI
G1027,flhA
G1028,degP
G1029,oppD
G1030,putP
G1031,decoy52
G1032,decoy76
G1033,phoU
G1034,crr
G1035,lsrB
G1036,livJ
G1037,argU
G1038,decoy25
G1039,speA
G1040,decoy44
G1041,gadC
G1042,flgC
G1043,hemA
G1044,nuoE
G1045,ugpC
G1046,entS
G1047,ptsI
G1048,oppF
G1049,valY
G1050,gnd
G1051,tpx
G1052,artP
G1053,rseB
G1054,decoy71
G1055,ccmB
G1056,yqjI
G1057,amiA
G1058,flxA
G1059,hybE
G1060,purL
G1061,mdtA
G1062,zinT
G1063,ompC
G1064,yjbG
G1065,puuR
G1066,grpE
G1067,proL
G1068,fecR
G1069,xapB
G1070,glpF
G1071,decoy53
G1072,hyfI
G1073,artQ
G1074,pheS
G1075,recC
G1076,dppA
G1077,decoy27
G1078,ytfE
G1079,gltL
G1080,hyfG
G1081,paaD
G1082,allB
G1083,tadA
G1084,asnB
G1085,tbpA
G1086,bglG
G1087,hyaB
G1088,murF
G1089,fimD
G1090,ykgM
G1091,asnA
G1092,gspO
G1093,araE
G1094,fepG
G1095,glyT
G1096,hisJ
G1097,ybbW
G1098,yhhY
G1099,dinJ
G1100,decoy28
G1101,hofC
G1102,slyB
G1103,murC
G1104,hcr
G1105,argW
G1106,argC
G1107,gltB
G1108,nanM
G1109,csgA
G1110,glpE
G1111,malM
G1112,fimH
G1113,tppB
G1114,cydA
G1115,pgi
G1116,mglA
G1117,moeB
G1118,srlA
G1119,hchA
G1120,uvrY
G1121,pyrD
G1122,ulaB
G1123,ssuA
G1124,astB
G1125,aroM
G1126,glmU
G1127,metH
G1128,fliF
G1129,ybaT
G1130,aroF
G1131,dppC
G1132,rrfF
G1133,nusA
G1134,rprA
G1135,hycF
G1136,glxK
G1137,fliQ
G1138,gudP
G1139,mhpE
G1140,zraP
G1141,hflD
G1142,ygdB
G1143,murP
G1144,napD
G1145,hypC
G1146,cynX
G1147,tnaA
G1148,fimC
G1149,gatA
G1150,srlE
G1151,rrsB
G1152,fliG
G1153,glpC
G1154,sucA
G1155,atoE
G1156,artI
G1157,nrdI
G1158,feaB
G1159,srlB
G1160,ssuB
G1161,araA
G1162,tyrB
G1163,creD
G1164,ascB
G1165,malS
G1166,decoy26
G1167,cusB
G1168,appA
G1169,caiD
G1170,metY
G1171,pqiA
G1172,ynfE
G1173,ppdA
G1174,decoy29
G1175,decoy64
G1176,araJ
G1177,glpK
G1178,ftsI
G1179,leuV
G1180,decoy73
G1181,cysH
G1182,nagE
G1183,ydiV
G1184,murE
G1185,pheU
G1186,glgA
G1187,paaI
G1188,hlyE
G1189,sufD
G1190,xylA
G1191,omrA
G1192,sufA
G1193,yibD
G1194,envZ
G1195,gltD
G1196,ilvL
G1197,glgC
G1198,lsrF
G1199,gltJ
G1200,alaX
G1201,dctA
G1202,pykF
G1203,nirD
G1204,rfaZ
G1205,yhjA
G1206,hdeA
G1207,rbsK
G1208,rrfH
G1209,betA
G1210,ftnB
G1211,caiA
G1212,rfaY
G1213,ydfN
G1214,ahpC
G1215,hybG
G1216,decoy39
G1217,ecnB
G1218,pnp
G1219,appC
G1220,pspD
G1221,glpA
G1222,deoA
G1223,hypF
G1224,artJ
G1225,chbB
G1226,ilvX
G1227,narX
G1228,ppiD
G1229,yjbF
G1230,nrfA
G1231,decoy38
G1232,hybF
G1233,nuoJ
G1234,mdtD
G1235,napC
G1236,napG
G1237,yiaM
G1238,ccmG
G1239,fbaA
G1240,galE
G1241,ftsZ
G1242,tehB
G1243,flu
G1244,argK
G1245,rplP
G1246,rplM
G1247,uhpT
G1248,yoaG
G1249,recF
G1250,narK
G1251,yebG
G1252,tdcB
G1253,yjeV
G1254,livG
G1255,adrA
G1256,alkA
G1257,dhaL
G1258,nhaA
G1259,evgS
G1260,dapB
G1261,hisP
G1262,ynfK
G1263,glpB
G1264,yiaK
G1265,pqiB
G1266,hdeD
G1267,glnK
G1268,sgrS
G1269,glyA
G1270,proK
G1271,metB
G1272,rrfG
G1273,glcG
G1274,trpE
G1275,dcuA
G1276,htrE
G1277,rpoE
G1278,glpQ
G1279,decoy56
G1280,rffH
G1281,csgG
G1282,cydC
G1283,yjbE
G1284,ydhV
G1285,fecB
G1286,decoy31
G1287,speB
G1288,tdcC
G1289,rutA
G1290,phnL
G1291,pitA
G1292,yiaN
G1293,cynS
G1294,cirA
G1295,fadA
G1296,carB
G1297,acrA
G1298,fimG
G1299,agaI
G1300,gspB
G1301,atoA
G1302,yaiA
G1303,bacA
G1304,aldA
G1305,decoy41
G1306,gltF
G1307,fumA
G1308,ilvN
G1309,ybiS
G1310,nuoA
G1311,fiu
G1312,hcaE
G1313,infC
G1314,argX
G1315,glnQ
G1316,caiE
G1317,yafQ
G1318,flgI
G1319,hokE
G1320,paaE
G1321,rhaD
G1322,cyoD
G1323,tdh
G1324,gabD
G1325,pstB
G1326,ynfH
G1327,ygjG
G1328,garR
G1329,wzxE
G1330,ynfG
G1331,eno
G1332,focA
G1333,ompF
G1334,metT
G1335,pncB
G1336,fecI
G1337,decoy78
G1338,nadA
G1339,ileT
G1340,fliL
G1341,allD
G1342,caiB
G1343,hyfA
G1344,cspI
G1345,decoy70
G1346,torA
G1347,rpmC
G1348,bioF
G1349,garL
G1350,rutF
G1351,nagB
G1352,fimA
G1353,yjjQ
G1354,fixX
G1355,tsr
G1356,yeaG
G1357,cyoC
G1358,gcvH
G1359,gcl
G1360,flgE
G1361,dinD
G1362,torC
G1363,tyrP
G1364,sodA
G1365,yqjA
G1366,murD
G1367,astA
G1368,nikA
G1369,mdtF
G1370,glcD
G1371,rrlG
G1372,rbsA
G1373,rrlH
G1374,yhdY
G1375,nrfB
G1376,rplS
G1377,rpsC
G1378,wzb
G1379,icd
G1380,wza
G1381,nrdD
G1382,pgaA
G1383,paaJ
G1384,fruK
G1385,tnaB
G1386,fhuE
G1387,decoy63
G1388,rffG
G1389,gadY
G1390,nikD
G1391,phr
G1392,sgbH
G1393,ugpB
G1394,fliY
G1395,cysK
G1396,lldP
G1397,gadB
G1398,cho
G1399,sdhC
G1400,decoy72
G1401,treB
G1402,moeA
G1403,ppsA
G1404,ilvM
G1405,ulaG
G1406,pepD
G1407,fes
G1408,rrsA
G1409,rseA
G1410,fliD
G1411,yafO
G1412,lysT
G1413,iraM
G1414,aspA
G1415,chbA
G1416,fimE
G1417,hybA
G1418,hyaC
G1419,mraY
G1420,aroH
G1421,nrfC
G1422,glgP
G1423,malZ
G1424,rhaA
G1425,leuP
G1426,yrbL
G1427,tyrA
G1428,napA
G1429,decoy36
G1430,alaU
G1431,argE
G1432,glnU
G1433,aspV
G1434,ybbV
G1435,ydiU
G1436,leuW
G1437,alkB
G1438,fliK
G1439,xylH
G1440,osmB
G1441,slp
G1442,gltU
G1443,trg
G1444,astD
G1445,yjgI
G1446,hyfB
G1447,flhB
G1448,ung
G1449,pheM
G1450,gutQ
G1451,decoy20
G1452,baeS
G1453,fucU
G1454,metQ
G1455,rpsO
G1456,exbB
G1457,aroA
G1458,maoC
G1459,cysW
G1460,gntX
G1461,narJ
G1462,ompX
G1463,ybjC
G1464,ddpB
G1465,paaF
G1466,hdeB
G1467,yegR
G1468,pdxA
G1469,nikB
G1470,hycD
G1471,scpB
G1472,exuT
G1473,fliA
G1474,dhaK
G1475,ycfS
G1476,lyxK
G1477,cadA
G1478,hyfD
G1479,chpA
G1480,ugpQ
G1481,mglB
G1482,pstS
G1483,mazG
G1484,ileV
G1485,fdhF
G1486,decoy77
G1487,gltW
G1488,umuC
G1489,pgaD
G1490,pstC
G1491,pspA
G1492,tdcD
G1493,phnC
G1494,thiP
G1495,rffE
G1496,rbsB
G1497,acrE
G1498,uxaA
G1499,fliZ
G1500,chiA
G1501,pgk
G1502,decoy43
G1503,seqA
G1504,tauB
G1505,ccmH
G1506,pspC
G1507,chbG
G1508,yciF
G1509,garK
G1510,yeaR
G1511,acrF
G1512,phoE
G1513,flhE
G1514,paaC
G1515,cusA
G1516,dcuB
G1517,nrdA
G1518,cyaR
G1519,narG
G1520,fhuD
G1521,decoy50
G1522,melA
G1523,araD
G1524,hemL
G1525,purC
G1526,fhuB
G1527,fecC
G1528,potF
G1529,dinI
G1530,flgA
G1531,decoy67
G1532,ydhO
G1533,deoD
G1534,dctR
G1535,lpxC
G1536,tdcE
G1537,adiA
G1538,fabB
G1539,fabA
G1540,cyoA
G1541,decoy55
G1542,leuC
G1543,rplB
G1544,glnL
G1545,malY
G1546,fadD
G1547,nanT
G1548,frdD
G1549,idnT
G1550,carA
G1551,rrfD
G1552,agp
G1553,polB
G1554,modB
G1555,hycC
G1556,hyfH
G1557,recA
G1558,nuoI
G1559,cyoB
G1560,decoy42
G1561,oppA
G1562,proV
G1563,ileU
G1564,rrlB
G1565,qseC
G1566,serA
G1567,araB
G1568,cpxA
G1569,ugpA
G1570,hyfJ
G1571,nagD
G1572,amtB
G1573,hha
G1574,fliI
G1575,decoy33
G1576,ruvA
G1577,malP
G1578,yojI
G1579,rpsQ
G1580,entC
G1581,dmsC
G1582,omrB
G1583,sdhB
G1584,htpG
G1585,aceK
G1586,sufC
G1587,decoy66
G1588,dnaG
G1589,yahA
G1590,ddpF
G1591,mhpF
G1592,mhpA
G1593,metU
G1594,ybjG
G1595,torD
G1596,purK
G1597,bioD
G1598,nemA
G1599,rrfA
G1600,glpT
G1601,cysG
G1602,nuoH
G1603,decoy54
G1604,agaB
G1605,fucK
G1606,kdpA
G1607,codB
G1608,zraS
G1609,wzc
G1610,astC
G1611,dsdA
G1612,fldA
G1613,lsrG
G1614,nikC
G1615,edd
G1616,feoB
G1617,sdhA
G1618,yhiD
G1619,gatC
G1620,betB
G1621,pspG
G1622,yeiA
G1623,mngA
G1624,rplT
G1625,thrS
G1626,ydhU
G1627,metI
G1628,decoy19
G1629,moaE
G1630,nanA
G1631,pstA
G1632,pheT
G1633,prmC
G1634,yiaL
G1635,decoy51
G1636,flgH
G1637,murQ
G1638,fliR
G1639,mdh
G1640,fadL
G1641,paaA
G1642,osmY
G1643,potI
