#Experiment,Perturbations,PerturbationLevels,Treatment,DeletedGenes,OverexpressedGenes,Time,Repeat
46,P12,0.1,NA,NA,NA,144,1
46,P12,0.1,NA,NA,NA,144,2
46,P12,0.1,NA,NA,NA,144,3
46,P12,0.1,NA,NA,NA,192,1
46,P12,0.1,NA,NA,NA,192,2
46,P12,0.1,NA,NA,NA,192,3
46,P12,0.1,NA,NA,NA,240,1
46,P12,0.1,NA,NA,NA,240,2
46,P12,0.1,NA,NA,NA,240,3
47,NA,NA,NA,NA,NA,0,1
47,NA,NA,NA,NA,NA,0,2
47,NA,NA,NA,NA,NA,0,3
47,NA,NA,NA,NA,NA,60,1
47,NA,NA,NA,NA,NA,60,2
47,NA,NA,NA,NA,NA,60,3
47,NA,NA,NA,NA,NA,240,1
47,NA,NA,NA,NA,NA,240,2
47,NA,NA,NA,NA,NA,240,3
47,P13,NA,NA,NA,NA,0,1
47,P13,NA,NA,NA,NA,0,2
47,P13,NA,NA,NA,NA,0,3
47,P13,NA,NA,NA,NA,60,1
47,P13,NA,NA,NA,NA,60,2
47,P13,NA,NA,NA,NA,60,3
47,P13,NA,NA,NA,NA,240,1
47,P13,NA,NA,NA,NA,240,2
47,P13,NA,NA,NA,NA,240,3
47,P14,NA,NA,NA,NA,60,1
47,P14,NA,NA,NA,NA,60,2
47,P14,NA,NA,NA,NA,60,3
47,P14,NA,NA,NA,NA,240,1
47,P14,NA,NA,NA,NA,240,2
47,P14,NA,NA,NA,NA,240,3
47,"P13,P14",NA,NA,NA,NA,60,1
47,"P13,P14",NA,NA,NA,NA,60,2
47,"P13,P14",NA,NA,NA,NA,60,3
47,"P13,P14",NA,NA,NA,NA,240,1
47,"P13,P14",NA,NA,NA,NA,240,2
47,"P13,P14",NA,NA,NA,NA,240,3
48,NA,NA,NA,NA,NA,0,1
48,P15,NA,NA,NA,NA,360,1
48,P15,NA,NA,NA,NA,420,1
48,P15,NA,NA,NA,NA,480,1
48,P16,NA,NA,NA,NA,0,1
48,P16,NA,NA,NA,NA,60,1
48,P16,NA,NA,NA,NA,120,1
48,P16,NA,NA,NA,NA,180,1
48,P16,NA,NA,NA,NA,360,1
48,P16,NA,NA,NA,NA,420,1
48,P16,NA,NA,NA,NA,480,1
49,NA,NA,NA,NA,NA,0,1
49,NA,NA,NA,NA,NA,0,2
49,NA,NA,NA,NA,NA,60,1
49,NA,NA,NA,NA,NA,60,2
49,NA,NA,NA,NA,NA,110,1
49,NA,NA,NA,NA,NA,110,2
49,NA,NA,NA,NA,NA,180,1
49,NA,NA,NA,NA,NA,180,2
49,P17,NA,NA,NA,NA,0,1
49,P17,NA,NA,NA,NA,0,2
49,P17,NA,NA,NA,NA,60,1
49,P17,NA,NA,NA,NA,60,2
49,P17,NA,NA,NA,NA,110,1
49,P17,NA,NA,NA,NA,110,2
49,P17,NA,NA,NA,NA,180,1
49,P17,NA,NA,NA,NA,180,2
49,P18,NA,NA,NA,NA,0,1
49,P18,NA,NA,NA,NA,0,2
49,P18,NA,NA,NA,NA,60,1
49,P18,NA,NA,NA,NA,60,2
49,P18,NA,NA,NA,NA,110,1
49,P18,NA,NA,NA,NA,110,2
49,P18,NA,NA,NA,NA,180,1
49,P18,NA,NA,NA,NA,180,2
50,NA,NA,NA,NA,NA,0,1
50,NA,NA,NA,NA,NA,0,2
50,NA,NA,NA,NA,NA,0,3
50,NA,NA,NA,NA,NA,25,1
50,NA,NA,NA,NA,NA,25,2
50,NA,NA,NA,NA,NA,100,1
50,NA,NA,NA,NA,NA,100,2
50,NA,NA,NA,NA,NA,100,3
50,NA,NA,NA,NA,NA,200,1
50,NA,NA,NA,NA,NA,200,2
50,NA,NA,NA,NA,NA,200,3
50,NA,NA,NA,NA,NA,200,4
50,P19,1,NA,NA,NA,0,1
50,P19,1,NA,NA,NA,0,2
50,P19,1,NA,NA,NA,25,1
50,P19,1,NA,NA,NA,25,2
50,P19,1,NA,NA,NA,100,1
50,P19,1,NA,NA,NA,100,2
50,P19,1,NA,NA,NA,200,1
50,P19,1,NA,NA,NA,200,2
50,P19,1,NA,NA,NA,200,3
50,P20,0.33,NA,NA,NA,0,1
50,P20,0.33,NA,NA,NA,0,2
50,P20,0.33,NA,NA,NA,25,1
50,P20,0.33,NA,NA,NA,25,2
50,P20,0.33,NA,NA,NA,100,1
50,P20,0.33,NA,NA,NA,100,2
50,P20,0.33,NA,NA,NA,200,1
50,P20,0.33,NA,NA,NA,200,2
50,P20,0.33,NA,NA,NA,200,3
50,"P20,P19","1.00,1.00",NA,NA,NA,0,1
50,"P20,P19","1.00,1.00",NA,NA,NA,0,2
50,"P20,P19","1.00,1.00",NA,NA,NA,0,3
50,"P20,P19","1.00,1.00",NA,NA,NA,25,1
50,"P20,P19","1.00,1.00",NA,NA,NA,25,2
50,"P20,P19","1.00,1.00",NA,NA,NA,25,3
50,"P20,P19","1.00,1.00",NA,NA,NA,100,1
50,"P20,P19","1.00,1.00",NA,NA,NA,100,2
50,"P20,P19","1.00,1.00",NA,NA,NA,100,3
50,"P20,P19","1.00,1.00",NA,NA,NA,200,1
50,"P20,P19","1.00,1.00",NA,NA,NA,200,2
50,"P20,P19","1.00,1.00",NA,NA,NA,200,3
50,"P20,P19","1.00,1.00",NA,NA,NA,200,4
51,NA,NA,NA,NA,NA,0,1
51,NA,NA,NA,NA,NA,60,1
51,NA,NA,NA,NA,NA,120,1
51,NA,NA,NA,NA,NA,240,1
51,P21,1,NA,NA,NA,60,1
51,P21,1,NA,NA,NA,120,1
51,P21,1,NA,NA,NA,240,1
51,P22,0.01,NA,NA,NA,60,1
51,P22,0.01,NA,NA,NA,120,1
51,P22,0.01,NA,NA,NA,240,1
52,NA,NA,NA,NA,NA,0,1
52,P21,1,NA,NA,NA,90,1
52,P21,1,NA,NA,NA,180,1
52,P23,1,NA,NA,NA,90,1
52,P23,1,NA,NA,NA,180,1
52,P24,1,NA,NA,NA,90,1
52,P24,1,NA,NA,NA,180,1
52,"P23,P21","1.00,1.00",NA,NA,NA,90,1
52,"P23,P21","1.00,1.00",NA,NA,NA,180,1
52,"P24,P21","1.00,1.00",NA,NA,NA,90,1
52,"P24,P21","1.00,1.00",NA,NA,NA,180,1
53,NA,NA,NA,NA,NA,90,1
53,NA,NA,NA,NA,NA,180,1
53,P25,NA,NA,NA,NA,90,1
53,P25,NA,NA,NA,NA,180,1
53,P7,1,NA,NA,NA,90,1
53,P7,1,NA,NA,NA,180,1
53,"P7,P26","1.00,1.00",NA,NA,NA,90,1
53,"P7,P26","1.00,1.00",NA,NA,NA,180,1
53,"P7,P26","1.00,1.00",1,NA,NA,90,1
53,"P7,P26","1.00,1.00",1,NA,NA,180,1
53,P26,1,NA,NA,NA,0,1
53,P26,1,NA,NA,NA,90,1
53,P26,1,NA,NA,NA,180,1
54,NA,NA,NA,NA,NA,0,1
54,P27,0.2,NA,NA,NA,60,1
54,P27,0.2,NA,NA,NA,120,1
54,P27,0.2,NA,NA,NA,240,1
54,P27,0.5,NA,NA,NA,60,1
54,P27,0.5,NA,NA,NA,120,1
54,P27,0.5,NA,NA,NA,240,1
55,P2,NA,NA,NA,NA,0,1
55,P2,NA,NA,NA,NA,0,2
55,P2,NA,NA,NA,NA,0,3
55,P2,NA,NA,NA,NA,0,4
55,P2,NA,NA,NA,NA,0,5
55,P2,NA,NA,NA,NA,20,1
55,P2,NA,NA,NA,NA,20,2
55,P2,NA,NA,NA,NA,20,3
55,P2,NA,NA,NA,NA,20,4
55,P2,NA,NA,NA,NA,20,5
55,P2,NA,NA,NA,NA,100,1
55,P2,NA,NA,NA,NA,100,2
55,P2,NA,NA,NA,NA,100,3
55,P2,NA,NA,NA,NA,100,4
55,P2,NA,NA,NA,NA,100,5
55,P2,NA,NA,NA,NA,200,1
55,P2,NA,NA,NA,NA,200,2
55,P2,NA,NA,NA,NA,200,3
55,P2,NA,NA,NA,NA,200,4
55,P2,NA,NA,NA,NA,200,5
56,NA,NA,NA,NA,NA,0,1
56,NA,NA,NA,NA,NA,400,1
56,P27,1,NA,NA,NA,400,1
56,P21,1,NA,NA,NA,400,1
56,P12,1,NA,NA,NA,400,1
56,P22,1,NA,NA,NA,400,1
56,P28,0.08,NA,NA,NA,400,1
56,P28,1,NA,NA,NA,400,1
57,NA,NA,NA,NA,NA,0,1
57,P27,1,NA,NA,NA,90,1
57,P27,1,NA,NA,NA,180,1
57,P21,1,NA,NA,NA,90,1
57,P21,1,NA,NA,NA,180,1
57,"P27,P21","1.00,1.00",NA,NA,NA,90,1
57,"P27,P21","1.00,1.00",NA,NA,NA,180,1
58,NA,NA,NA,NA,NA,0,1
58,NA,NA,NA,NA,NA,60,1
58,NA,NA,NA,NA,NA,120,1
58,NA,NA,NA,NA,NA,240,1
58,P12,1,NA,NA,NA,0,1
58,P12,1,NA,NA,NA,60,1
58,P12,1,NA,NA,NA,120,1
58,P12,1,NA,NA,NA,240,1
58,P12,1,1,NA,NA,0,1
58,P12,1,1,NA,NA,60,1
58,P12,1,1,NA,NA,120,1
58,P12,1,1,NA,NA,240,1
58,P11,NA,NA,NA,NA,0,1
58,P11,NA,NA,NA,NA,60,1
58,P11,NA,NA,NA,NA,120,1
58,P11,NA,NA,NA,NA,240,1
59,NA,NA,NA,NA,NA,140,1
59,NA,NA,NA,NA,NA,300,1
59,NA,NA,NA,NA,NA,480,1
59,P4,NA,NA,NA,NA,140,1
59,P4,NA,NA,NA,NA,300,1
59,P4,NA,NA,NA,NA,480,1
60,NA,NA,NA,NA,NA,0,1
60,NA,NA,NA,NA,NA,60,1
60,NA,NA,NA,NA,NA,120,1
60,NA,NA,NA,NA,NA,240,1
60,P27,1,NA,NA,NA,60,1
60,P27,1,NA,NA,NA,120,1
60,P27,1,NA,NA,NA,240,1
60,P29,1,NA,NA,NA,60,1
60,P29,1,NA,NA,NA,120,1
60,P29,1,NA,NA,NA,240,1
60,P12,1,NA,NA,NA,60,1
60,P12,1,NA,NA,NA,120,1
60,P12,1,NA,NA,NA,240,1
60,P22,0.01,NA,NA,NA,60,1
60,P22,0.01,NA,NA,NA,120,1
60,P22,0.01,NA,NA,NA,240,1
61,NA,NA,NA,NA,NA,60,1
61,NA,NA,NA,NA,NA,180,1
61,P30,NA,NA,NA,NA,0,1
61,P30,NA,NA,NA,NA,60,1
61,P30,NA,NA,NA,NA,180,1
61,P31,NA,NA,NA,NA,0,1
61,P31,NA,NA,NA,NA,60,1
61,P31,NA,NA,NA,NA,180,1
62,NA,NA,NA,NA,NA,0,1
62,NA,NA,NA,NA,NA,0,2
62,NA,NA,NA,NA,NA,0,3
62,NA,NA,NA,NA,NA,60,1
62,NA,NA,NA,NA,NA,60,2
62,NA,NA,NA,NA,NA,60,3
62,NA,NA,NA,NA,NA,240,1
62,NA,NA,NA,NA,NA,240,2
62,NA,NA,NA,NA,NA,240,3
62,P14,NA,NA,NA,NA,60,1
62,P14,NA,NA,NA,NA,60,2
62,P14,NA,NA,NA,NA,60,3
62,P14,NA,NA,NA,NA,240,1
62,P14,NA,NA,NA,NA,240,2
62,P14,NA,NA,NA,NA,240,3
62,P13,NA,NA,NA,NA,0,1
62,P13,NA,NA,NA,NA,0,2
62,P13,NA,NA,NA,NA,0,3
62,P13,NA,NA,NA,NA,0,4
62,P13,NA,NA,NA,NA,0,5
62,P13,NA,NA,NA,NA,60,1
62,P13,NA,NA,NA,NA,60,2
62,P13,NA,NA,NA,NA,60,3
62,P13,NA,NA,NA,NA,240,1
62,P13,NA,NA,NA,NA,240,2
62,P13,NA,NA,NA,NA,240,3
62,"P13,P14",NA,NA,NA,NA,60,1
62,"P13,P14",NA,NA,NA,NA,60,2
62,"P13,P14",NA,NA,NA,NA,60,3
62,"P13,P14",NA,NA,NA,NA,240,1
62,"P13,P14",NA,NA,NA,NA,240,2
62,"P13,P14",NA,NA,NA,NA,240,3
63,NA,NA,NA,NA,NA,0,1
63,P28,0.08,NA,NA,NA,60,1
63,P28,0.08,NA,NA,NA,120,1
63,P28,0.08,NA,NA,NA,240,1
63,P28,1,NA,NA,NA,60,1
63,P28,1,NA,NA,NA,120,1
63,P28,1,NA,NA,NA,240,1
64,NA,NA,NA,NA,NA,NA,1
64,NA,NA,NA,G142,NA,NA,1
65,NA,NA,NA,NA,NA,NA,1
65,NA,NA,NA,"G169,G49",NA,NA,1
66,NA,NA,NA,NA,NA,NA,1
66,NA,NA,NA,NA,NA,NA,2
66,NA,NA,NA,G34,NA,NA,1
67,NA,NA,NA,NA,NA,NA,1
67,NA,NA,NA,G21,NA,NA,1
68,NA,NA,NA,NA,NA,NA,1
68,NA,NA,NA,NA,NA,NA,2
68,NA,NA,NA,G169,NA,NA,1
68,NA,NA,NA,G49,NA,NA,1
68,NA,NA,NA,G10,NA,NA,1
68,NA,NA,NA,"G169,G49",NA,NA,1
68,NA,NA,NA,"G169,G49",NA,NA,2
69,NA,NA,NA,NA,NA,NA,1
69,NA,NA,NA,NA,NA,NA,2
69,NA,NA,NA,NA,NA,NA,3
69,NA,NA,NA,G10,NA,NA,1
69,NA,NA,NA,G10,NA,NA,2
69,NA,NA,NA,G10,NA,NA,3
70,NA,NA,NA,G66,NA,NA,1
70,NA,NA,NA,G66,NA,NA,2
70,NA,NA,NA,G66,NA,NA,3
70,NA,NA,NA,G121,NA,NA,1
70,NA,NA,NA,G121,NA,NA,2
70,NA,NA,NA,G121,NA,NA,3
70,NA,NA,NA,G84,NA,NA,1
70,NA,NA,NA,G84,NA,NA,2
70,NA,NA,NA,G84,NA,NA,3
70,NA,NA,NA,"G121,G84",NA,NA,1
70,NA,NA,NA,"G121,G84",NA,NA,2
70,NA,NA,NA,"G121,G84",NA,NA,3
70,NA,NA,NA,G12,NA,NA,1
70,NA,NA,NA,G12,NA,NA,2
70,NA,NA,NA,G12,NA,NA,3
70,NA,NA,NA,G52,NA,NA,1
70,NA,NA,NA,G52,NA,NA,2
70,NA,NA,NA,G52,NA,NA,3
70,NA,NA,NA,NA,NA,NA,1
70,NA,NA,NA,NA,NA,NA,2
70,NA,NA,NA,NA,NA,NA,3
70,NA,NA,NA,NA,NA,NA,4
71,NA,NA,NA,NA,NA,NA,1
71,NA,NA,NA,G169,NA,NA,1
71,NA,NA,NA,G49,NA,NA,1
71,NA,NA,NA,"G169,G49",NA,NA,1
72,NA,NA,NA,NA,NA,NA,1
72,NA,NA,NA,NA,NA,NA,2
72,NA,NA,NA,NA,NA,NA,3
72,NA,NA,NA,G164,NA,NA,1
72,NA,NA,NA,NA,G164,NA,1
72,NA,NA,NA,G162,G164,NA,1
72,NA,NA,NA,G10,G164,NA,1
73,NA,NA,NA,NA,NA,NA,1
73,NA,NA,NA,G176,NA,NA,1
73,NA,NA,NA,G65,NA,NA,1
73,NA,NA,NA,"G164,G65",NA,NA,1
74,NA,NA,NA,G84,NA,NA,1
74,NA,NA,NA,G84,NA,NA,2
74,NA,NA,NA,G84,NA,NA,3
75,NA,NA,NA,NA,NA,NA,1
75,NA,NA,NA,G22,NA,NA,1
75,NA,NA,NA,G164,NA,NA,1
75,NA,NA,NA,G125,NA,NA,1
75,NA,NA,NA,G28,NA,NA,1
75,NA,NA,NA,G56,NA,NA,1
75,NA,NA,NA,G165,NA,NA,1
75,NA,NA,NA,G56,NA,NA,1
75,NA,NA,NA,G122,NA,NA,1
75,NA,NA,NA,G83,NA,NA,1
75,NA,NA,NA,NA,G164,NA,1
75,NA,NA,NA,NA,G125,NA,1
75,NA,NA,NA,NA,G56,NA,1
75,NA,NA,NA,NA,G165,NA,1
75,NA,NA,NA,NA,G83,NA,1
76,NA,NA,NA,NA,NA,NA,1
76,NA,NA,NA,G58,NA,NA,1
77,NA,NA,NA,NA,NA,NA,1
77,NA,NA,NA,NA,NA,NA,2
77,NA,NA,NA,G169,NA,NA,1
77,NA,NA,NA,G49,NA,NA,1
77,NA,NA,NA,G10,NA,NA,1
77,NA,NA,NA,"G169,G49",NA,NA,1
77,NA,NA,NA,"G169,G49",NA,NA,2
78,NA,NA,NA,NA,NA,NA,1
78,NA,NA,NA,"G169,G49",NA,NA,1
79,NA,NA,NA,NA,NA,NA,1
79,NA,NA,NA,G39,NA,NA,1
80,NA,NA,NA,NA,NA,NA,1
80,NA,NA,NA,"G169,G49",NA,NA,1
81,NA,NA,NA,NA,NA,NA,1
81,NA,NA,NA,NA,NA,NA,2
81,NA,NA,NA,NA,NA,NA,3
81,NA,NA,NA,NA,NA,NA,4
81,NA,NA,NA,NA,NA,NA,5
81,NA,NA,NA,G120,NA,NA,1
81,NA,NA,NA,G120,NA,NA,2
81,NA,NA,NA,G120,NA,NA,3
81,NA,NA,NA,G20,NA,NA,1
81,NA,NA,NA,G136,NA,NA,1
81,NA,NA,NA,G136,NA,NA,2
81,NA,NA,NA,G136,NA,NA,3
81,NA,NA,NA,G49,NA,NA,1
82,NA,NA,NA,NA,NA,NA,1
82,NA,NA,NA,NA,NA,NA,2
82,NA,NA,NA,NA,NA,NA,3
82,NA,NA,NA,G10,NA,NA,1
82,NA,NA,NA,G10,NA,NA,2
82,NA,NA,NA,G10,NA,NA,3
83,NA,NA,NA,NA,NA,NA,1
83,NA,NA,NA,G151,NA,NA,1
84,NA,NA,NA,NA,NA,NA,1
84,NA,NA,NA,"G169,G49",NA,NA,1
85,NA,NA,NA,NA,NA,NA,1
85,NA,NA,NA,NA,NA,NA,2
85,NA,NA,NA,NA,NA,NA,3
85,NA,NA,NA,G84,NA,NA,1
85,NA,NA,NA,G84,NA,NA,2
85,NA,NA,NA,G84,NA,NA,3
85,NA,NA,NA,G84,NA,NA,4
86,NA,NA,NA,NA,NA,NA,1
86,NA,NA,NA,NA,NA,NA,2
86,NA,NA,NA,NA,NA,NA,3
86,NA,NA,NA,G10,NA,NA,1
86,NA,NA,NA,G10,NA,NA,2
86,NA,NA,NA,G10,NA,NA,3
87,NA,NA,NA,NA,NA,NA,1
87,NA,NA,NA,NA,NA,NA,2
87,NA,NA,NA,NA,NA,NA,3
87,NA,NA,NA,G66,NA,NA,1
87,NA,NA,NA,G66,NA,NA,2
87,NA,NA,NA,G66,NA,NA,3
87,NA,NA,NA,G121,NA,NA,1
87,NA,NA,NA,G121,NA,NA,2
87,NA,NA,NA,G121,NA,NA,3
87,NA,NA,NA,G84,NA,NA,1
87,NA,NA,NA,G84,NA,NA,2
87,NA,NA,NA,G84,NA,NA,3
87,NA,NA,NA,"G121,G84",NA,NA,1
87,NA,NA,NA,"G121,G84",NA,NA,2
87,NA,NA,NA,"G121,G84",NA,NA,3
87,NA,NA,NA,G12,NA,NA,1
87,NA,NA,NA,G12,NA,NA,2
87,NA,NA,NA,G12,NA,NA,3
87,NA,NA,NA,G52,NA,NA,1
87,NA,NA,NA,G52,NA,NA,2
87,NA,NA,NA,G52,NA,NA,3
88,NA,NA,NA,NA,NA,NA,1
88,NA,NA,NA,NA,NA,NA,2
88,NA,NA,NA,G47,NA,NA,1
88,NA,NA,NA,G176,NA,NA,1
89,NA,NA,NA,NA,NA,NA,1
89,NA,NA,NA,G43,NA,NA,1
90,NA,NA,NA,NA,NA,NA,1
90,NA,NA,NA,NA,NA,NA,2
90,NA,NA,NA,NA,NA,NA,3
90,NA,NA,NA,G10,NA,NA,1
90,NA,NA,NA,G10,NA,NA,2
90,NA,NA,NA,G10,NA,NA,3
91,NA,NA,NA,NA,G182,NA,1
91,NA,NA,NA,NA,G182,NA,2
92,NA,NA,NA,NA,NA,NA,1
92,NA,NA,NA,NA,NA,NA,2
92,NA,NA,NA,G34,NA,NA,1
92,NA,NA,NA,G34,NA,NA,2
93,NA,NA,NA,NA,NA,NA,1
